Date,7-day hospitalizations average
8/13/2021,18.85421408
8/14/2021,19.18572267
8/15/2021,19.59089983
8/16/2021,18.97699504
8/17/2021,20.46264464
8/18/2021,20.90465609
8/19/2021,21.28220754
8/20/2021,22.77092667
8/21/2021,24.35787056
8/22/2021,25.62681177
8/23/2021,27.27084881
8/24/2021,29.45021082
8/25/2021,31.74314523
8/26/2021,34.06677487
8/27/2021,35.34369684
8/28/2021,35.65064924
8/29/2021,36.08959117
8/30/2021,34.74698139
8/31/2021,33.41358017
9/1/2021,32.14648068
9/2/2021,31.03408519
9/3/2021,31.24895187
9/4/2021,31.70938047
9/5/2021,31.99177667
9/6/2021,31.21088977
9/7/2021,30.26056515
9/8/2021,30.74350359
9/9/2021,30.53682231
9/10/2021,30.81921851
9/11/2021,30.15006229
9/12/2021,30.49384897
9/13/2021,31.68236865
9/14/2021,32.71618433
9/15/2021,32.76529671
9/16/2021,32.30486812
9/17/2021,31.25509092
9/18/2021,30.49077945
9/19/2021,29.59754797
9/20/2021,30.19917467
9/21/2021,30.19303562
9/22/2021,29.8185537
9/23/2021,28.68405764
9/24/2021,26.85953259
9/25/2021,25.48684147
9/26/2021,24.09696102
9/27/2021,23.09015716
9/28/2021,22.03731044
9/29/2021,21.06427134
9/30/2021,21.51242184
10/1/2021,22.14065108
10/2/2021,22.69725809
10/3/2021,22.7371619
10/4/2021,21.91145996
10/5/2021,21.34666755
10/6/2021,21.27299897
10/7/2021,20.14034463
10/8/2021,18.97085599
10/9/2021,17.88424451
10/10/2021,16.82525874
10/11/2021,16.02411298
10/12/2021,15.1677158
10/13/2021,14.31131861
10/14/2021,14.65101259
10/15/2021,15.90747107
10/16/2021,17.07389018
10/17/2021,17.96712165
10/18/2021,19.099776
10/19/2021,19.21027886
10/20/2021,19.02610742
10/21/2021,19.00155123
10/22/2021,18.01930356
10/23/2021,17.24578352
10/24/2021,17.29489591
10/25/2021,16.37403871
10/26/2021,15.41634724
10/27/2021,14.52311576
10/28/2021,13.53779857
10/29/2021,13.4395738
10/30/2021,13.69434429
10/31/2021,13.15103855
11/1/2021,13.26768046
11/2/2021,14.13942527
11/3/2021,15.02344817
11/4/2021,15.76013392
